pid,worker,iteration,target,best_target,kappa,T
8488,0,0,0.0,0.0,9.261187281287935,2
14104,1,0,0.0,13.980123119999995,8.576958985908941,39
2820,2,0,0.0,13.980123119999995,7.943282347242815,27
9240,3,0,2.431325759999999,13.980123119999995,7.356422544596413,18
47552,4,0,0.0,13.980123119999995,6.812920690579612,25
16356,5,0,13.980123119999995,13.980123119999995,6.309573444801932,14
36540,0,1,0.0,14.132080979999996,5.843414133735175,21
39676,1,1,13.372291679999996,14.132080979999996,3.981071705534972,12
21760,2,1,14.132080979999996,14.132080979999996,4.298662347082276,11
55644,3,1,10.789008059999997,14.132080979999996,5.011872336272722,14
51252,4,1,14.132080979999994,14.132080979999994,4.641588833612778,10
41176,5,1,12.764460239999995,14.132080979999996,5.411695265464636,14
